tag, value
399, off, 2392
400, off, 2384
401, off, 2393
402, on, 2385
403, on, 2385
404, on, 2385
405, off, 2385
406, off, 2384
407, off, 2384
408, on, 2393
409, on, 2392
410, on, 2384
411, off, 2392
412, off, 2385
413, off, 2392
414, on, 2392
415, on, 2393
416, on, 2393
417, off, 2392
418, off, 2400
419, off, 2393
420, on, 2384
421, on, 2384
422, on, 2384
423, off, 2384
424, off, 2384
425, off, 2384
426, on, 2393
427, on, 2392
428, on, 2385
429, off, 2384
430, off, 2393
431, off, 2393
432, on, 2393
433, on, 2392
434, on, 2392
435, off, 2392
436, off, 2392
437, off, 2393
438, on, 2392
439, on, 2393
440, on, 2392
441, off, 2384
442, off, 2385
443, off, 2384
444, on, 2385
445, on, 2384
446, on, 2384
447, off, 2393
448, off, 2393
449, off, 2384
450, on, 2393
451, on, 2393
452, on, 2392
453, off, 2400
454, off, 2392
455, off, 2385
456, on, 2392
457, on, 2392
458, on, 2400
459, off, 2393
460, off, 2392
461, off, 2392
462, on, 2384
463, on, 2384
464, on, 2384
465, off, 2384
466, off, 2385
467, off, 2385
468, on, 2392
469, on, 2385
470, on, 2384
471, off, 2392
472, off, 2392
473, off, 2400
474, on, 2385
475, on, 2392
476, on, 2392
477, off, 2393
478, off, 2392
479, off, 2392
480, on, 2384
481, on, 2384
482, on, 2385
483, off, 2384
484, off, 2384
485, off, 2384
486, on, 2384
487, on, 2384
488, on, 2385
489, off, 2385
490, off, 2392
491, off, 2392
492, on, 2384
493, on, 2392
494, on, 2393
495, off, 2392
496, off, 2400
497, off, 2393
498, on, 2400
499, on, 2392
500, on, 2393
501, off, 2384
502, off, 2385
503, off, 2384
504, on, 2384
505, on, 2384
506, on, 2384
507, off, 2392
508, off, 2385
509, off, 2384
510, on, 2384
511, on, 2385
512, on, 2385
513, off, 2392
514, off, 2393
515, off, 2392
516, on, 2400
517, on, 2400
518, on, 2392
519, off, 2392
520, off, 2400
521, off, 2392
522, on, 2392
523, on, 2393
524, on, 2384
525, off, 2384
526, off, 2385
527, off, 2392
528, on, 2385
529, on, 2384
530, on, 2384
531, off, 2392
532, off, 2384
533, off, 2392
534, on, 2393
535, on, 2393
536, on, 2392
537, off, 2400
538, off, 2392
539, off, 2392
540, on, 2392
541, on, 2393
542, on, 2392
543, off, 2384
544, off, 2384
545, off, 2384
546, on, 2392
547, on, 2384
548, on, 2384
549, off, 2392
550, off, 2392
551, off, 2392
552, on, 2393
553, on, 2392
554, on, 2392
555, off, 2393
556, off, 2392
557, off, 2385
558, on, 2392
559, on, 2392
560, on, 2393
561, off, 2392
562, off, 2384
563, off, 2392
564, on, 2384
565, on, 2385
566, on, 2384
567, off, 2385
568, off, 2385
569, off, 2393
570, on, 2393
571, on, 2400
572, on, 2392
573, off, 2392
574, off, 2393
575, off, 2393
576, on, 2392
577, on, 2401
578, on, 2393
579, off, 2392
580, off, 2400
581, off, 2392
582, on, 2392
583, on, 2392
584, on, 2385
585, off, 2384
586, off, 2385
587, off, 2384
588, on, 2385
589, on, 2384
590, on, 2384
591, off, 2384
592, off, 2392
593, off, 2385
594, on, 2384
595, on, 2392
596, on, 2392
597, off, 2392
598, off, 2393
599, off, 2393
