tag, value
399, off, 2401
400, off, 2400
401, off, 2401
402, on, 2400
403, on, 2392
404, on, 2400
405, off, 2400
406, off, 2393
407, off, 2400
408, on, 2400
409, on, 2400
410, on, 2393
411, off, 2401
412, off, 2400
413, off, 2392
414, on, 2393
415, on, 2400
416, on, 2392
417, off, 2392
418, off, 2400
419, off, 2400
420, on, 2392
421, on, 2384
422, on, 2400
423, off, 2400
424, off, 2400
425, off, 2401
426, on, 2400
427, on, 2392
428, on, 2401
429, off, 2400
430, off, 2400
431, off, 2385
432, on, 2401
433, on, 2401
434, on, 2393
435, off, 2400
436, off, 2400
437, off, 2392
438, on, 2392
439, on, 2392
440, on, 2384
441, off, 2400
442, off, 2401
443, off, 2400
444, on, 2400
445, on, 2400
446, on, 2400
447, off, 2400
448, off, 2400
449, off, 2400
450, on, 2392
451, on, 2392
452, on, 2392
453, off, 2392
454, off, 2392
455, off, 2393
456, on, 2393
457, on, 2392
458, on, 2400
459, off, 2393
460, off, 2401
461, off, 2392
462, on, 2400
463, on, 2393
464, on, 2401
465, off, 2400
466, off, 2400
467, off, 2392
468, on, 2401
469, on, 2393
470, on, 2384
471, off, 2401
472, off, 2392
473, off, 2384
474, on, 2400
475, on, 2392
476, on, 2400
477, off, 2393
478, off, 2392
479, off, 2393
480, on, 2400
481, on, 2400
482, on, 2400
483, off, 2401
484, off, 2392
485, off, 2385
486, on, 2392
487, on, 2392
488, on, 2400
489, off, 2400
490, off, 2400
491, off, 2400
492, on, 2400
493, on, 2392
494, on, 2401
495, off, 2392
496, off, 2385
497, off, 2392
498, on, 2384
499, on, 2385
500, on, 2384
501, off, 2392
502, off, 2400
503, off, 2400
504, on, 2400
505, on, 2400
506, on, 2393
507, off, 2401
508, off, 2400
509, off, 2400
510, on, 2400
511, on, 2393
512, on, 2385
513, off, 2392
514, off, 2392
515, off, 2400
516, on, 2400
517, on, 2392
518, on, 2400
519, off, 2400
520, off, 2400
521, off, 2401
522, on, 2400
523, on, 2393
524, on, 2400
525, off, 2400
526, off, 2392
527, off, 2393
528, on, 2401
529, on, 2400
530, on, 2393
531, off, 2400
532, off, 2393
533, off, 2392
534, on, 2392
535, on, 2400
536, on, 2400
537, off, 2400
538, off, 2400
539, off, 2400
540, on, 2392
541, on, 2400
542, on, 2392
543, off, 2400
544, off, 2400
545, off, 2401
546, on, 2392
547, on, 2400
548, on, 2400
549, off, 2400
550, off, 2392
551, off, 2400
552, on, 2400
553, on, 2400
554, on, 2401
555, off, 2392
556, off, 2401
557, off, 2400
558, on, 2400
559, on, 2392
560, on, 2400
561, off, 2392
562, off, 2400
563, off, 2401
564, on, 2400
565, on, 2400
566, on, 2400
567, off, 2400
568, off, 2400
569, off, 2400
570, on, 2393
571, on, 2392
572, on, 2400
573, off, 2400
574, off, 2400
575, off, 2400
576, on, 2400
577, on, 2392
578, on, 2392
579, off, 2400
580, off, 2400
581, off, 2392
582, on, 2400
583, on, 2400
584, on, 2392
585, off, 2400
586, off, 2400
587, off, 2400
588, on, 2400
589, on, 2400
590, on, 2392
591, off, 2400
592, off, 2400
593, off, 2393
594, on, 2400
595, on, 2401
596, on, 2401
597, off, 2400
598, off, 2401
599, off, 2400
