tag, value
399, off, 2400
400, off, 2401
401, off, 2400
402, on, 2392
403, on, 2392
404, on, 2400
405, off, 2400
406, off, 2400
407, off, 2385
408, on, 2384
409, on, 2384
410, on, 2393
411, off, 2400
412, off, 2393
413, off, 2393
414, on, 2400
415, on, 2401
416, on, 2400
417, off, 2400
418, off, 2400
419, off, 2392
420, on, 2400
421, on, 2392
422, on, 2392
423, off, 2400
424, off, 2401
425, off, 2393
426, on, 2392
427, on, 2400
428, on, 2392
429, off, 2400
430, off, 2400
431, off, 2401
432, on, 2392
433, on, 2384
434, on, 2392
435, off, 2400
436, off, 2401
437, off, 2401
438, on, 2400
439, on, 2400
440, on, 2384
441, off, 2392
442, off, 2400
443, off, 2400
444, on, 2400
445, on, 2400
446, on, 2384
447, off, 2392
448, off, 2392
449, off, 2385
450, on, 2400
451, on, 2400
452, on, 2392
453, off, 2400
454, off, 2400
455, off, 2385
456, on, 2392
457, on, 2384
458, on, 2384
459, off, 2400
460, off, 2400
461, off, 2400
462, on, 2392
463, on, 2392
464, on, 2400
465, off, 2384
466, off, 2392
467, off, 2392
468, on, 2384
469, on, 2384
470, on, 2392
471, off, 2400
472, off, 2384
473, off, 2393
474, on, 2392
475, on, 2385
476, on, 2384
477, off, 2400
478, off, 2392
479, off, 2392
480, on, 2392
481, on, 2385
482, on, 2385
483, off, 2392
484, off, 2400
485, off, 2401
486, on, 2400
487, on, 2392
488, on, 2384
489, off, 2392
490, off, 2392
491, off, 2400
492, on, 2393
493, on, 2400
494, on, 2392
495, off, 2392
496, off, 2400
497, off, 2392
498, on, 2400
499, on, 2400
500, on, 2393
501, off, 2401
502, off, 2392
503, off, 2401
504, on, 2400
505, on, 2392
506, on, 2392
507, off, 2400
508, off, 2400
509, off, 2400
510, on, 2392
511, on, 2392
512, on, 2393
513, off, 2400
514, off, 2400
515, off, 2400
516, on, 2384
517, on, 2400
518, on, 2392
519, off, 2400
520, off, 2400
521, off, 2401
522, on, 2392
523, on, 2385
524, on, 2392
