tag, value
478, off, 2400
479, off, 2400
480, on, 2393
481, on, 2392
482, on, 2392
483, off, 2401
484, off, 2400
485, off, 2393
486, on, 2400
487, on, 2401
488, on, 2400
489, off, 2400
490, off, 2401
491, off, 2400
492, on, 2401
493, on, 2392
494, on, 2393
495, off, 2401
496, off, 2401
497, off, 2400
498, on, 2393
499, on, 2393
500, on, 2392
501, off, 2393
502, off, 2400
503, off, 2400
504, on, 2400
505, on, 2400
506, on, 2400
507, off, 2400
508, off, 2400
509, off, 2400
510, on, 2400
511, on, 2400
512, on, 2400
513, off, 2400
514, off, 2400
515, off, 2401
516, on, 2400
517, on, 2400
518, on, 2393
519, off, 2401
520, off, 2392
521, off, 2400
522, on, 2401
523, on, 2401
524, on, 2384
525, off, 2400
526, off, 2400
527, off, 2400
528, on, 2400
529, on, 2400
530, on, 2400
531, off, 2400
532, off, 2400
533, off, 2400
534, on, 2400
535, on, 2400
536, on, 2400
537, off, 2400
538, off, 2400
539, off, 2400
540, on, 2401
541, on, 2400
542, on, 2392
543, off, 2401
544, off, 2400
545, off, 2401
546, on, 2400
547, on, 2401
548, on, 2393
549, off, 2393
550, off, 2400
551, off, 2400
552, on, 2400
553, on, 2385
554, on, 2400
555, off, 2401
556, off, 2392
557, off, 2400
558, on, 2400
559, on, 2400
560, on, 2400
561, off, 2401
562, off, 2400
563, off, 2401
564, on, 2392
565, on, 2401
566, on, 2400
567, off, 2400
568, off, 2400
569, off, 2401
570, on, 2400
571, on, 2400
572, on, 2384
573, off, 2400
574, off, 2400
575, off, 2401
576, on, 2392
577, on, 2393
578, on, 2400
579, off, 2401
580, off, 2393
581, off, 2401
582, on, 2400
583, on, 2392
584, on, 2400
585, off, 2401
586, off, 2400
587, off, 2400
588, on, 2400
589, on, 2400
590, on, 2400
591, off, 2401
592, off, 2392
593, off, 2392
594, on, 2401
595, on, 2400
596, on, 2392
597, off, 2400
598, off, 2400
599, off, 2400
